id,numero,date_debut,date_signature,date_fin,statut,departement,chemin_fichier,niveau_gravite_specifique_aep,ressource_aep_communique,regle_gestion,arrete_cadre.id,arrete_cadre.numero,arrete_cadre.date_debut,arrete_cadre.date_fin,arrete_cadre.chemin_fichier,zones_alerte.id,zones_alerte.type,zones_alerte.code,zones_alerte.nom,zones_alerte.niveau_gravite,zones_alerte.id_sandre,zones_alerte.communes
22235,2011-287-0001,2011-11-03,2011-10-14,2011-11-03,abroge,30,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22235/art_20111103_levee_restriction_usage_eau_gard.pdf,null,null,undefined,,,,,,,,,,,,
22236,E2011-463,2011-11-04,2011-11-04,2011-11-30,abroge,46,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22236/ap2011104_ap_restric_lot.pdf,null,null,undefined,21233,A5 09 010,2010-06-09,2012-12-31,,,,,,,,
22246,2011-312-0006,2011-11-09,2011-11-09,2011-11-30,abroge,82,,null,null,undefined,,,,,,,,,,,,
22238,2011-308-0001,2011-11-14,2011-11-14,2011-11-14,abroge,48,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22238/ap_levant_mesures_eau.pdf,null,null,undefined,,,,,,,,,,,,
22241,ap_exceptionnel_20111116,2011-11-17,2011-11-16,2011-12-18,abroge,79,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22241/ap_signe_exceptionnel_20111116.pdf,null,null,undefined,,,,,,,,,,,,
22245,DDT/SEEP/2011/034,2011-11-17,2011-11-17,2011-11-30,abroge,89,,null,null,undefined,,,,,,,,,,,,
22240,2011DDTSEPR462,2011-11-17,2011-11-09,2012-01-01,abroge,77,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22240/ap_crise_renforc%C3%A9e_champiouest.pdf,null,null,undefined,,,,,,4329,SOU,11_77_01,Nappe du Champigny Ouest,crise,152,[]
22239,2011/DDT/SEPR/461,2011-11-17,2011-11-09,2011-12-31,abroge,77,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22239/ap_crise_renforc%C3%A9e_champiest.pdf,null,null,undefined,,,,,,4331,SOU,11_77_02,Nappe du Champigny Est,crise,154,[]
22244,2011328-0015,2011-11-24,2011-11-24,2011-11-24,abroge,26,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22244/2011-11-24_ap%20lev%C3%A9e%20restriction_2011-328-0015_24%20nov%202011.pdf,null,null,undefined,,,,,,,,,,,,
22243,2011-DDT-SE-404,2011-11-25,2011-11-25,2012-01-01,abroge,91,,null,null,undefined,,,,,,4328,SOU,11_91_01,Nappe Champigny Ouest,crise,,[]
22247,2011-333-0001,2011-12-01,2011-11-29,2011-12-15,abroge,82,,null,null,undefined,,,,,,,,,,,,
